序号 题目 答案
269 哈利在三强争霸赛带回了谁的尸体？ 塞德里克迪戈里 
270 哈利波特在三强争霸赛中需要从哪种龙那里取走金蛋？ 匈牙利树峰龙 
271 哈利在逃亡过程中，在哪里拿到了格兰芬多宝剑？ 湖底 
272 哈利在学习守护神咒时，使用过下列哪一段回忆？ 他第一次骑上飞天扫帚
273 哈利之外还有谁能拔出格兰芬多宝剑？ 纳威隆巴顿 
274 海德薇的名字出自哪里？ 魔法史 
275 海格曾说，除了霍格沃茨之外，世界上最安全的地方是哪里？ 古灵阁 
276 海格给鹰头马身有翼兽巴克比克取的新名字是什么？ 蔫翼 
277 海格教授曾经养大的八眼巨蛛叫什么名字？ 阿拉戈克 
278 海格教授曾提起过，他在翻倒巷找什么驱虫剂时，遇见了迷路的哈利？ 食肉鼻涕虫 
279 海格教授曾提起过他有个同母异父的弟弟，你们知道他叫什么吗？ 格洛普 
280 海格如何描述牙牙？ 胆小 
281 海格是乘坐什么交通工具将婴儿哈利送到邓布利多面前？ 飞天摩托 
282 海格使用什么交通工具把小哈利波特送到了女贞路4号？ 会飞的摩托车 
283 海格是怎么得到火龙蛋的？ 赢来的 
284 海格为什么被送进阿兹卡班？ 密室再度打开 
285 海格用什么把小哈利波特送到他姨夫姨妈家？ 会飞的摩托车 
286 海格在霍格沃茨上学时期养过什么当宠物？ 八眼巨蛛 
287 海莲娜拉文克劳把她母亲的冠冕藏在哪里？ 在一棵空心的树中 
288 赫敏格兰杰曾被谁用钻心咒折磨过？ 贝拉特里克斯莱斯特兰奇 
289 赫敏格兰杰的OWLs成绩中哪一科只取得了良好？ 黑魔法防御术 
290 赫敏格兰杰的守护神是什么形态？ 水獭 
291 赫敏格兰杰对自己的父母施展魔法让他们搬家去了哪里？ 澳大利亚 
292 赫敏格兰杰开学前在哪本书上看到了霍格沃茨的大礼堂？ 霍格沃茨一段校史 
293 赫敏格兰杰用了谁的签名才能借到强力药水？ 吉德罗洛哈特 
294 赫敏格兰杰与哈利波特见面时，使用的第一个咒语是？ 恢复如初 
295 赫敏格兰杰在闻到爱情药剂后在脑海里最后的味道是？ 牙膏 
296 赫敏格兰杰最不擅长的课程是什么？ 占卜课 
297 赫敏格兰杰最不擅长的咒语是？ 呼神护卫 
298 赫敏曾经喝下复方汤剂变成过以下哪种样子？ 猫女 
299 赫敏曾经收到过麦格教授的礼物，礼物是什么呢？ 时间转换器 
300 赫敏创立的家养小精灵权利促进协会的缩写是？ S.P.E.W. 
301 赫敏第一次喝复方汤剂时原本想伪装成谁？ 米里森伯斯德 
302 赫敏发现蛇怪通过什么在城堡中移动？ 管道 
303 赫敏用什么办法一次上不止一节课？ 时间转换器 
304 赫敏制作的复汤药剂的配方出自哪本书？ 强力药剂 
305 赫奇帕奇的学院幽灵是谁？ 胖修士 
306 和小天狼星布莱克一起逃跑的鹰头马身有翼兽叫什么名字？ 巴克比克 
307 黑暗时期，谁向伏地魔出卖了詹姆和莉莉？ 小矮星彼得 
308 黑夜王在成为伏地魔之前叫什么名字？ 汤姆里德尔 
309 红帽子通常在哪里被发现？ 有流血的地方就容易有红帽子 
310 霍格莫德村倍受欢迎的甜点商店叫什么名字？ 蜂蜜公爵糖果店 
311 霍格莫德妖精叛乱的时间是？ 1612年 
312 霍格沃茨保卫战发生在哪一年？ 1998 
313 霍格沃茨不允许学生带什么宠物入学？ 八眼巨蛛 
314 霍格沃茨城堡坐落于什么地方？ 苏格兰高地 
315 霍格沃茨的第一任管理员是谁？ 汉克顿汉博 
316 霍格沃茨的飞行课教师是谁？ 霍琦夫人 
317 霍格沃茨的家养小精灵又把有求必应屋称为什么？ 来去屋 
318 霍格沃茨的猎场看守是谁？ 鲁伯海格 
319 霍格沃茨的哪一任校长曾经是著名的草药学家？ 菲利达斯波尔 
320 霍格沃茨的图书管理员是谁？ 平斯女士 
321 霍格沃茨的学生给卢娜洛夫古德起了什么外号？ 疯姑娘卢娜 
322 霍格沃茨的学生通常在对角巷哪里购买校袍？ 摩金夫人长袍专卖店 
323 霍格沃茨各学院的学院杯分数是用什么记录的？ 装满宝石的沙漏 
324 霍格沃茨魁地奇球赛的裁判是谁？ 霍琦女士 
325 霍格沃茨历史上，谁在有求必应屋放出了厉火？ 文森特克拉布 
326 霍格沃茨历史上最年轻的校长是谁？ 西弗勒斯:斯内普 
327 霍格沃茨女生盥洗室里游荡着哪位幽灵？ 桃金娘 
328 霍格沃茨入学时要求学生购买的天平是什么材质的？ 黄铜 
329 霍格沃茨特快列车出现以前，霍格沃茨的学生们如何去学校？ 门钥匙 
330 霍格沃茨特快列车从哪个车站出发？ 国王十字车站 
331 霍格沃茨特快列车上卖零食的女售货员叫什么名字？ 没人知道 
332 霍格沃茨通往霍格莫德的密道藏在哪里？ 驼背独眼女巫雕像后面 
333 霍格沃茨唯一的幽灵教授是谁？ 宾斯教授 
334 霍格沃茨一共有几道楼梯呢？ 142 
335 霍格沃茨一年级新生不被允许带什么入校？ 飞天扫帚 
336 霍格沃茨之战开战前，谁召集了食死徒？ 阿莱克托卡罗 
337 霍格沃茨之战中，是谁斩断了纳吉尼的头？ 纳威隆巴顿 
338 霍格沃茨最高的塔楼是什么？ 天文塔 
339 火螃蟹的壳上覆盖着什么？ 宝石 
340 火螃蟹和人头狮身蝎尾兽交配后会得到什么？ 炸尾螺 
341 霍琦夫人曾经使用过下列哪一种扫帚飞行？ 银箭 
342 吉德罗洛哈特曾经发明过一种洗发水，其中含有下列哪种成分？ 鸟蛇蛋黄 
343 吉德罗洛哈特教授失忆后被收治于圣芒戈医院几楼？ 五楼 
344 吉德罗洛哈特使用了谁的魔杖施展遗忘咒后失去了记忆？ 罗恩韦斯莱 
345 假疯眼汉穆迪在惩罚马尔福时，把他变成了？ 白鼬 
346 假穆迪教授在课堂上用什么演示了不可饶恕咒？ 蜘蛛 
347 家养小精灵多比最初的主人是谁？ 卢修斯马尔福 
348 尖叫棚屋在什么地方？ 霍格莫德村 
349 叫丽痕的商店出售什么？ 书本 
350 劫盗者中谁的家族都来自于斯莱特林？ 小天狼星布莱克 
351 接纳之笔在什么上记录英国境内巫师新生儿？ 准入之书 
352 金妮韦斯莱名字中的金妮是什么的简称？ 吉尼芙拉 
353 金妮调侃谁的名字叫粘痰？ 芙蓉德拉库尔 
354 金色飞贼被发明之前，魁地奇比赛中使用的是哪一种生物？ 金飞侠 
355 金色飞贼翅膀是什么颜色？ 银色 
356 禁止滥用麻瓜物品办公室的主任是谁？ 亚瑟韦斯莱 
357 据莫丽所知，亚瑟韦斯莱的最大理想是什么？ 弄清飞机是怎么呆在天上的 
358 考考你们，食死徒贝拉特里克斯莱斯特兰奇的妹妹是谁？ 纳西莎马尔福
359 克鲁克山是一只什么颜色的猫？ 姜黄色 
360 哭泣的桃金娘是哪个学院的？ 拉文克劳 
361 魁地奇比赛中，常规得分手段是投进什么球？ 鬼飞球 
362 魁地奇比赛中，什么位置负责击打游走球？ 击球手 
363 魁地奇球队霍利黑德哈比队，成立于哪一年？ 1203年 
364 拉文克劳的冠冕被汤姆里德尔得到前存放在哪个国家的一个树的树洞里？ 阿尔巴尼亚 
365 拉文克劳的冠冕曾被海莲娜拉文克劳藏在哪里？ 阿尔巴尼亚森林 
366 拉文克劳的冠冕底座上刻的格言是？ 过人的智慧是人类最大的财富 
367 拉文克劳的冠冕是被下列哪个咒语摧毁的？ 厉火咒 
368 拉文克劳的学院幽灵是谁？ 格雷女士 
369 拉文克劳公共休息室的门环是什么形状？ 鹰 
370 莱姆斯卢平、小天狼星布莱克、詹姆波特和小矮星彼得的组合名称是什么？ 劫盗者 
371 狼人芬里尔格雷贝克是什么邪恶群体的头目？ 搜捕队头目 
372 老魔杖的别称中不包括什么？ 智慧杖 
373 老魔杖的杖芯是什么？ 夜骐的尾毛 
374 老汤姆里德尔的墓碑在哪儿？ 小汉格顿 
375 雷吉卡特莫尔在魔法部的哪个部门工作？ 魔法维修保养处 
376 莉莉伊万斯曾赠予斯拉格霍恩教授什么东西？ 一朵变成鱼的花 
377 莉莉伊万斯第一个认识的巫师是谁？ 西弗勒斯斯内普 
378 历史上，邓布利多军的常规训练地点在哪里？ 有求必应屋 
379 历史上，赫敏格兰杰第一次制作复方汤剂时错误试用了哪种生物的毛发？ 猫 
380 历史上，赫奇帕奇的金杯由谁亲手摧毁？ 赫敏格兰杰 
381 历史上，纳吉尼在变成蛇之前和谁关系密切？ 克莱登斯巴瑞波恩 
382 历史上，是谁摧毁了魂器马沃罗冈特的戒指？ 阿不思邓布利多 
383 历史上，谁在学校修建了藏有蛇怪的密室，只为清除学校里的非纯血巫师？ 萨拉查斯莱特林 
384 历史上，汤姆里德尔污蔑谁打开了密室？ 鲁伯海格 
385 历史上格兰芬多公共休息室入口在胖夫人受到惊吓后，由谁临时守护？ 卡多根爵士 
386 历史上谁打败了一代黑魔王盖勒特格林德沃？ 阿不思邓布利多 
387 历史轶闻，谁将活点地图送给了哈利？ 弗雷德和乔治 
388 龙血的十二种用途的发现者是谁？ 阿不思邓布利多 
389 鲁伯海格的父母中谁是巨人？ 母亲是巨人 
390 鲁伯海格的小龙诺伯托付给查理之后改名为什么？ 诺贝塔 
391 鲁伯海格上学的时候，谁是他最好的朋友？ 阿拉戈克 
392 鲁伯海格在霍格沃茨就读几年级时，因为密室事件而被学校开除？ 三年级 
393 卢娜洛夫古德的守护神是什么形态？ 野兔 
394 卢娜洛夫古德父亲的职业是什么？ 唱唱反调的编辑 
395 卢娜洛夫古德女士曾属于哪个学院？ 拉文克劳 
396 卢娜的父亲是哪份报纸的主编？ 唱唱反调 
397 卢娜的守护神是什么？ 可爱的野兔
398 卢娜认为哪种植物可以用于驱赶大嘴彩球鱼？ 戈迪根 
399 卢娜通过防妖眼镜可以看到什么？ 骚扰虻 
400 卢平告诉哈利波特什么东西可以解除摄魂怪带来的负面情绪？ 巧克力 
401 卢平教授使用什么药水让自己变身时保持理智？ 狼毒药剂 
402 卢平教授原以为哈利的博格特会变成什么形态？ 伏地魔 
403 卢平教授在哈利波特几年级时来霍格沃茨教授黑魔法防御课？ 三年级 
404 卢平教授最后和谁结婚了？ 尼法朵拉唐克斯 
405 伦敦最出名的魔法报纸是什么？ 预言家日报 
406 罗恩韦斯莱曾经把什么生物伪装成了自己？ 食尸鬼 
407 罗恩韦斯莱曾在格兰芬多魁地奇球队打什么位置？ 守门员 
408 罗恩韦斯莱的第一根魔杖是怎么坏掉的？ 被打人柳打断 
409 罗恩韦斯莱的猫头鹰小猪原来叫什么名字？ 朱薇琼 
410 罗恩韦斯莱的守护神是什么？ 杰克拉塞尔猎狗 
411 罗恩韦斯莱还缺巧克力蛙动画片的哪两位？ 康奈利阿格丽芭和波托勒米 
412 罗恩韦斯莱家里的大钟有什么用途？ 显示家人的状态 
413 罗恩韦斯莱因为巫师棋胜利为格兰芬多加了多少分？ 50 
414 罗恩韦斯莱最喜欢的魁地奇球队是什么队？ 查德里火炮队 
415 罗恩的第一个女朋友叫什么？ 拉文德布朗 
416 罗恩的耗子叫什么名字？ 斑斑 
418 罗恩胳膊被分体时赫敏用的什么魔药？ 白鲜香精 
419 罗恩幻影移行分体后，赫敏用了什么治疗他的伤口？ 白鲜香精 
420 罗恩一家曾经在赢得大奖后去哪里旅游？ 埃及 
421 洛夫古德家看起来像是巫师棋中的哪个棋子？ 车 
422 洛哈特教授曾在黑魔法防御课上，把什么神奇生物放了出来？ 康沃尔郡小精灵 
423 洛哈特最喜欢的颜色是什么？ 丁香色
424 罗斯默塔夫人把施了毒咒的宝石项链给了谁？ 凯蒂贝尔 
425 马尔福用于诅咒邓布利多的项链最后让谁遭受了诅咒？ 凯蒂贝尔 
426 马人费伦泽曾在霍格沃茨教授哪一门课程？ 占卜课 
427 麦格教授曾是哪个学院的院长？ 格兰芬多 
428 麦格教授的阿尼马格斯形态是什么？ 虎斑猫 
429 麦格教授认为霍格沃茨最不准确的学科是什么？ 占卜学 
430 麦格教授认为霍格沃茨最危险的学科是什么？ 变形术 
431 麦格教授是哪门课的老师？ 变形课 
432 猫头鹰爱好者们，知道哈利的猫头鹰海德薇是什么品种吗？ 雪鸮 
433 猫头鹰爱好者请听题，埃罗尔是谁的猫头鹰？ 韦斯莱一家 
434 猫头鹰是值得信赖的宠物，有谁知道哈利波特的猫头鹰叫什么？ 海德薇 
435 美国的巫师称非魔法群体为什么？ 麻鸡 
436 美国的伊法魔尼魔法学校由谁的后人创建？ 斯莱特林 
437 梅洛普刚特将斯莱特林挂坠盒卖了多少钱？ 10加隆 
438 米布米宝被刺激后会喷出什么？ 臭汁 
439 米勒娃麦格年轻时的恋人和她的父亲一样是一位？ 麻瓜 
440 密室最初的用途是什么？ 教授黑魔法 
441 冥想盆里的物质是什么样子的？ 非液体非气体 
442 魔法部的魔法兄弟喷泉不包含以下哪种雕塑？ 火龙 
443 魔法部将一种生物定级为X级时，意味着什么？ 几乎没有杀伤力 
444 魔法部将一种生物定级为XXX级时，意味着什么？ 有能力的巫师可以战胜 
445 魔法法律执行司内审判被控犯罪的巫师的组织名称是什么？ 威森加摩 
446 魔法石曾被存放于古灵阁的几号金库？ 713号 
447 魔法史课上，同学们总是把恶魔埃默里克和谁搞混？ 怪人尤里克 
448 魔法石可以带来什么？ 永生 
449 魔法石是什么颜色的？ 红色 
450 摩金夫人在对角巷开了一家什么店？ 长袍店 
451 哪本书不是丽塔斯基特的著作？ 糊弄麻瓜的简单法术 
452 哪本书上有复方汤剂的配制方法？ 强力药剂 
453 哪副画像守护着格兰芬多公共休息室的入口？ 胖夫人 
454 哪个电台播放了反对伏地魔的节目？ 波特瞭望站 
455 哪个故事没有被收录在诗翁彼豆故事集中？ 巫师的飞天扫把 
456 哪个家族喜欢在家养小精灵老的时候，把他的头砍掉挂到墙壁上？ 布莱克家族 
457 哪个来自禁林的马人成为了霍格沃茨的教授？ 费伦泽 
458 哪个咒语不是混血王子发明的？ 无声无息 
459 哪里可以买到双头无尾水螈？ 神奇动物商店 
460 哪所魔法学校只招收纯血巫师？ 德姆斯特朗魔法学校 
461 纳威隆巴顿的宠物蟾蜍的名字是什么？ 莱福 
462 纳威隆巴顿父母曾经担任什么职位？ 傲罗 
463 纳威隆巴顿教授刚到霍格沃茨读书时，他想被分到哪个学院？ 赫奇帕奇 
464 纳威隆巴顿教授最擅长的科目是什么？ 草药学 
465 哪些人目睹了多洛雷斯乌姆里奇将海格开除？ 正在考天文学OWLS的学生们 
466 那些通过抓捕麻瓜出生者或所谓血统叛徒来换取金钱的人被称为什么？ 搜捕队员 
467 哪一本书不在霍格沃茨一年级新生的书单里？ 基础魔药学 
468 哪一个魔法道具不是韦斯莱孪生兄弟的发明？ 变热假加隆 
469 哪一门学科研究的是数学（数字）的魔力？ 算数占卜 
470 哪一位教授之前曾是一位决斗大师？ 弗立维教授 
471 哪一位人物没有在莫莉韦斯莱的博格特中出现过？ 赫敏格兰杰 
472 哪一位妖精协助哈利波特从古灵阁获取了魂器？ 拉环 
473 哪一项是大众认可的赫奇帕奇学院的特质？ 忠诚 
474 哪一种翠绿色的药水会让人产生恐惧和幻觉？ 绝望药水 
475 哪一种刊物被指刊登阴谋论和虚构生物？ 唱唱反调 
476 哪一种龙被认为是最美的龙？ 澳洲蛋白眼 
477 哪一种魔药中含有毛虫切片？ 缩身药水 
478 哪一种神奇生物被称为爱尔兰凤凰？ 卜鸟 
479 哪一种神奇生物被麻瓜们称为渡渡鸟？ 球遁鸟 
480 哪一种神奇生物的鸣叫可以让人发疯？ 恶婆鸟 
481 哪一种神奇生物有人的头、狮子的身体和蝎子的尾巴？ 人头狮身蝎尾兽 
482 哪一种神奇生物有狮子的头、山羊的身体和龙尾巴？ 客迈拉兽 
483 哪一种药材会让碰到的人皮肤上长出厚厚的硬皮？ 肉瘤粉 
484 哪种魔法生物像家猫？ 猫狸子 
485 尼法朵拉唐克斯的头发一般是什么颜色？ 泡泡糖粉 
486 尼法朵拉唐克斯有什么特殊的魔法能力？ 易容马格斯 
487 尼可勒梅曾在哪里上学？ 布斯巴顿魔法学院
488 你能在哪条路上找到博金-博克商店？ 翻倒巷 
489 纽特斯卡曼德的上衣口袋里经常揣着哪种神奇动物？ 护树罗锅 
490 纽特斯卡曼德离开霍格沃兹时，他的变形学教授反对学校的惩戒结果使他得以保留魔杖，请问这位教授是？ 阿不思邓布利多 
491 纽特斯卡曼德去纽约是为了送哪种动物回家？ 雷鸟 
492 纽特斯卡曼德在纽约结识的麻瓜是谁？ 雅各布科瓦尔斯基 
493 纽特的同伴皮克特是哪种神奇生物？ 护树罗锅 
494 纽特受了什么启发开始对魔法动物感兴趣？ 他母亲养的鹰头马身有翼兽
496 胖夫人是哪个学院休息室门口的画像？ 格兰芬多 
497 佩妮德思礼曾给莉莉波特寄去过哪件礼物？ 花瓶 
498 珀西韦斯莱曾在旧杂货铺里阅读什么书？ 级长怎样获得权力 
499 奇洛教授第一次遇到伏地魔是在哪儿？ 阿尔巴尼亚的黑森林 
500 奇落教授用了哪种乐器使路威放松警惕？ 被施了魔法的竖琴 
501 骑士公共汽车的售票员叫什么名字？ 斯坦利桑帕克 
502 前黑魔法防御课老师吉德罗洛哈特最擅长什么语 一忘皆空 
503 前几几年奥利凡德家族开始经营魔杖制造事业？ 前382年 
504 请问黏痰过多里的粘痰指的是？ 芙蓉德拉库尔 
505 请问复方汤剂的配方没有以下哪一样？ 粉碎蛇的毒牙 
506 请问老魔杖的第一代主人是谁？ 安提俄克佩弗利尔 
507 请问隆巴顿教授在上学的时候养了什么宠物？ 蟾蜍 
508 请问纽特斯卡曼德给蒂娜戈德斯坦的情书中写到蒂娜的眼睛像哪种生物？ 火蜥蜴 
509 请问学院幽灵格雷女士的原名是？ 海莲娜拉文克劳 
510 请问在第三学年时，哈利波特用什么样的方式从姨妈家来到对角巷？ 乘坐骑士公共汽车 
511 蜷翼魔的毒液经过稀释会有什么效果？ 消除不好的记忆 
512 人们常常吧狐媚子误认为什么？ 仙子 
513 人们能从厄里斯魔镜中看到什么？ 最渴望的事物 
514 人头狮身蝎尾兽在进食的时候会发出什么声音？ 一声低吟 
515 人鱼有时会饲养什么神奇生物作为宠物？ 格林迪洛 
516 日记中伏地魔的记忆汤姆马沃罗里德尔让空中他自己的名字变换了位置，形成了一句话，它是？ 我是伏地魔 
517 如果你想摧毁一个魂器，下列哪个物品可能会有帮助？ 蛇怪的毒牙 
518 根据妖精拉环的说法，如果有人试图闯入古灵阁713号金库，会发生什么？ 被吸入门中
519 如何向鹰头马身有翼兽打招呼才合适？ 翰并等待它全动接近 
520 如何正确地打开一本妖怪们的妖怪书？ 抚摸书脊 
521 三把扫帚酒吧的女主人是谁？ 罗斯默塔女士 
522 三强争霸赛的第一个项目中，芙蓉挑战了什么龙？ 威尔士绿龙 
523 三强争霸赛的第一个项目中，哈利挑战了什么龙？ 匈牙利树峰龙 
524 三强争霸赛的第一个项目中，克鲁姆挑战了什么龙？ 中国火球 
525 三强争霸赛的第一个项目中，塞德里克挑战了什么龙？ 瑞典短鼻龙 
526 三强争霸赛的圣诞舞会上，芙蓉德拉库尔的舞伴是谁？ 罗杰戴维斯 
527 三强争霸赛第二个项目中谁变成了鲨鱼？ 威克多尔克鲁姆 
528 三强争霸赛期间，谁邀请了赫敏参加舞会？ 威克多尔克鲁姆 
529 三强争霸赛前，谁绑架了疯眼汉穆迪？ 小巴蒂克劳奇 
530 三强争霸赛舞会上，哈利的舞伴是谁？ 帕瓦蒂佩蒂尔 
531 三强争霸赛舞会上，哪支乐队进行了表演？ 古怪姐妹 
532 三强争霸赛中使用的龙不包括下列哪一种？ 挪威脊背龙 
533 三强争霸赛中谁与哈利波特一同触碰到奖杯？ 塞德里克迪戈里 
534 三强争霸赛最后一场比赛中，斯芬克司给哈利出的谜题的答案是什么？ 蜘蛛 
535 三人组逃亡时，是在谁的帮助下拿到格兰芬多宝剑的？ 西弗勒斯斯内普 
536 三头犬路威的弱点是什么？ 听到音乐就会入睡 
537 三头犬路威守护的东西是什么？ 魔法石 
538 闪闪原先是谁的家养小精灵？ 巴蒂克劳奇 
539 什么草药有强大的治愈效果？ 白鲜 
540 什么导致麦格教授曾被送去圣芒戈魔法伤病医院？ 她被四发昏迷咒击中 
541 什么东西能重现记忆？ 冥想盆 
542 什么行为会导致魔法交通司对无此证件的巫师进行惩罚？ 幻影显形 
543 什么黑暗的人工制品能在黑暗中提供光明？ 光荣之手 
544 什么黑魔法物品是盗贼之友？ 光荣之手 
545 什么可以让魔鬼网的藤蔓停止不动？ 强光 
546 什么毛茸茸的东西高兴时发出嗡嗡声，还喜欢把长舌头伸到巫师的鼻子里？ 蒲绒绒 
547 什么魔法道具可以帮助格兰芬多的学生？ 格兰芬多宝剑 
549 什么魔法物品可以用于制造长生不老药？ 魔法石 
550 什么魔法物品用于挑选三强争霸赛选手？ 火焰杯 
551 什么魔法游戏用大理石一样的东西？ 高布石游戏 
552 什么魔法游戏与麻瓜的弹子游戏类似？ 高布石游戏 
553 什么神奇的植物会有漂浮的果实？ 飞艇李 
554 什么神奇生物的皮比龙更坚硬，而且可以挡住大部分的咒语？ 角驼兽 
555 什么神奇生物可以产生引人伤感的糖蜜？ 伤心虫 
556 什么神奇植物的果实会颠倒着悬挂在灌木上？ 飞艇李 
557 什么生物被认为是保护神奇生物课上最无聊的生物？ 弗洛伯毛虫 
558 什么生物的背部覆盖着海葵般的触须？ 莫特拉鼠 
559 什么生物会以人最害怕的形态出现？ 博格特 
560 什么生物能在最黑暗、最肮脏的地方被找到？ 摄魂怪 
561 什么生物以人脑为食，并帮助纽特斯卡曼德逃离了美国魔法国会？ 蜷翼魔 
562 什么生物只有面对过死亡的人才能看见？ 夜骐 
563 什么是给曼德拉草换盆时的必要道具？ 耳罩 
564 什么物品会显示人们心中最深的渴望？ 厄里斯魔镜 
565 什么物品会在不怀好意的人接近时响起来？ 规镜窥镜
566 什么物品会在格兰芬多人危急时出现？ 格兰芬多宝剑 
567 什么物品可以检测出隐藏的魔法物品或隐藏咒？ 诚实探测器 
568 什么样的人才能看到夜骐？ 目睹过死亡 
569 什么样的巫师才能驾驭用夜骐尾毛做杖芯的魔杖？ 直面过死亡的人 
571 什么植物在受到刺激时会喷出臭汁？ 米布米宝 
572 圣芒戈魔法伤病医院的院徽是什么？ 魔杖和骨头交叉 
573 圣芒戈魔法伤病医院位于哪里？ 伦敦 
574 圣芒戈中的一个牌子上写着干净的坩埚可以让魔药不变成什么？ 毒药 
575 失败的幻影移形可能会导致什么？ 分体 
576 时间转换器每转一次能回到多久以前？ 一个小时
576 时间转换器转一下会倒流多久？ 1个小时
577 世界上一共有几所魔法学校？ 11 
578 是什么神奇动物启蒙了纽特斯卡曼德？ 纽特妈妈养的鹰头马身有翼兽 
579 是谁创建了SPEW——家养小精灵权益促进会吗？ 赫敏格兰杰 
580 是谁告诉哈利有密室的？ 多比 
581 是谁告诉了哈利波特巧克力可以缓解摄魂怪带来的负面情绪？ 莱姆斯卢平 
582 是谁给韦斯莱双胞胎第一笔开店的资金？ 哈利波特 
583 是谁将德拉科马尔福变成白鼬的？ 小巴蒂克劳奇 小巴蒂克劳奇冒充的穆迪，有一题答案要选 疯眼穆迪
584 是谁将写有哈利波特名字的纸条投入了火焰杯中？ 小巴蒂克劳奇 
585 是谁开启了消失的密室？ 金妮韦斯莱 
586 是谁杀死了拉文德布朗？ 芬里尔格雷伯克 
587 是谁使用了时间转换器来应对多门选修课？ 赫敏格兰杰 
588 是谁写了神奇动物在哪里并要去找它们？ 纽特斯卡曼德 
589 是谁在第二次巫师大战期间利用双面镜帮助了哈利波特？ 阿不福思邓布利多 
590 是谁最先找到了斯莱特林的挂坠盒？ 雷古勒斯布莱克 
591 食死徒的手臂上纹着什么图案？ 黑魔标记 
592 受到摄魂怪的袭击后，食用哪种食物可以有效缓解？ 巧克力 
593 谁把汤姆里德尔的日记本放到了金妮的坩埚里？ 卢修斯马尔福 
594 谁帮助了哈利、罗恩和赫敏溜进了古灵阁？ 拉环 
595 谁曾经被鲁伯海格释过变形咒？ 达力德思礼 
596 谁曾是魔法部派往霍格沃茨的高级调查官？ 多洛雷斯乌姆里奇 
597 谁曾因为喝下了错误的复方汤剂变成了猫人？ 赫敏格兰杰 
598 谁曾在魁地奇比赛中，戴了一顶狮头形状还会吼叫的帽子？ 卢娜洛夫古德 
599 谁摧毁了伏地魔的最后一个魂器？ 纳威隆巴顿 
600 谁导致了巴克比克被判了死刑？ 卢修斯马尔福
601 谁的办公室曾经使用过柠檬雪宝糖这个口令？ 邓布利多教授 
602 谁的挂坠成了伏地魔的魂器？ 萨拉查斯莱特林 
603 谁的冠冕成了伏地魔的魂器？ 罗伊纳拉文克劳 
604 谁的魔眼能看穿墙壁？ 阿拉斯托穆迪 
605 谁第一个告诉哈利，他是一个巫师？ 海格 
606 谁发明了咒语神锋无影？ 西弗勒斯斯内普 
607 谁告诉了哈利、罗恩、赫敏死亡圣器的故事？ 谢诺菲留斯洛夫古德 
609 谁和哈利一起参加了斯拉格霍恩教授的圣诞晚会？ 卢娜洛夫古德 
610 谁假冒了真正的阿拉斯托穆迪作为三强争霸塞那年霍格沃茨的黑魔法防御术教授？ 小巴蒂克劳奇 
611 谁教会了哈利波特守护神咒？ 卢平 
612 谁能告诉我，高布石像麻瓜的哪种游戏？ 弹球 
613 谁能说出粪石取自何处？ 山羊的胃 
614 谁派多比前往马尔福庄园的地窖解救了哈利波特和他的朋友们？ 阿不福思邓布利多 
615 谁是布莱克家族的家养小精灵？ 克利切 
616 谁是哈利波特入学第一学期魁地奇队长？ 奥利弗伍德 
617 谁是哈利的第三任黑魔法防御术老师？ 莱姆斯卢平 
618 谁是霍格沃茨的钥匙和场地管理员？ 鲁伯海格 
619 谁死在了英国魔法部神秘事务司的帷幔后面？ 小天狼星布莱克 
620 谁调换了伏地魔藏在岩洞中的斯莱特林挂坠盒？ 雷古勒斯布莱克 
621 谁为了误导魔法部对小天狼星布莱克的搜捕方向说他曾经出现在西藏？ 金斯莱沙克尔 
622 谁为学院魁地奇队采购了全部的扫帚？ 卢修斯马尔福 
623 谁诬陷海格打开了密室？ 汤姆里德尔 
624 水仙根粉末加入艾草浸液会得到什么？ 生死水 
625 水仙根粉末加入什么植物的浸液会得到生死水？ 艾草 
626 谁养了一只叫洛丽丝夫人的猫？ 阿格斯费尔奇 
627 谁用的魔杖杖芯材料是巨怪的胡须？ 卡多根爵士 
628 谁用假挂坠替换了岩洞中的真挂坠？ 雷古勒斯布莱克 
629 谁预言了一个七月出生的男孩将挑战伏地魔？ 西比尔特里劳妮 
630 谁在阿拉戈克的葬礼上发表了讲话？ 霍拉斯斯拉格霍恩 
631 谁在二年级时折断了自己的魔杖？ 罗恩韦斯莱 
632 谁在哈利波特额头上留下了闪电疤痕？ 伏地魔 
633 谁在湖中心盛满药水的盆中藏了假挂坠盒？ 雷古勒斯布莱克 
634 谁在霍格沃茨第一学年就对纳威隆巴顿释放过石化咒？ 赫敏格兰杰 
635 谁在霍格沃茨特快列车上对哈利施了全身束缚咒？ 德拉科马尔福 
636 谁在危机时刻赶到密室帮助了哈利？ 福克斯 
637 谁终结了贝拉特里克斯莱斯特兰奇？ 莫丽韦斯莱 
638 谁终结了纳吉尼？ 纳威 
639 说出霍格沃茨经常出没的捣乱分子的名字？ 皮皮鬼 
640 斯拉格霍恩创办了什么协会？ 鼻涕虫俱乐部 
641 斯拉格霍恩教授是哪一个学院的院长？ 斯莱特林 
642 斯拉格霍恩教授最喜欢的食物是什么？ 菠萝蜜饯 
643 斯莱特林的学院幽灵是谁？ 血人巴罗 
644 斯莱特林公共休息室位于哪里？ 地下室 
645 斯莱特林学生曾用哪首歌嘲讽罗恩韦斯莱？ 韦斯莱是我们的王 
